Q1,Q2,Q3,Q4,Q5,Stress
2,2,2,1,1,Moderate
2,3,3,2,3,High
2,1,3,2,1,Moderate
1,3,1,2,2,Moderate
1,3,2,1,3,Moderate
2,3,2,3,3,High
2,1,3,1,2,Moderate
1,3,3,1,1,Moderate
1,1,2,3,2,Moderate
2,2,1,3,2,Moderate
1,3,1,1,3,Moderate
3,1,3,2,3,High
3,3,3,3,2,High
3,2,1,1,2,Moderate
2,3,1,3,2,Moderate
2,2,2,3,1,Moderate
2,1,2,1,2,Moderate
3,3,3,3,2,High
2,2,2,2,2,Moderate
1,2,2,1,1,Low
1,3,2,3,2,Moderate
2,2,1,1,1,Low
3,2,1,2,3,Moderate
3,1,1,2,1,Moderate
2,2,2,3,2,Moderate
1,3,2,3,1,Moderate
2,2,2,3,2,Moderate
2,3,2,1,2,Moderate
3,1,2,2,3,Moderate
3,3,3,3,1,High
3,3,3,2,2,High
3,3,3,1,3,High
2,1,3,2,3,Moderate
2,1,3,3,1,Moderate
2,2,1,1,3,Moderate
3,3,3,3,1,High
3,2,2,2,1,Moderate
3,3,3,1,3,High
3,2,1,3,2,Moderate
1,1,2,2,2,Moderate
2,3,3,1,1,Moderate
3,3,1,2,3,High
3,3,3,1,3,High
2,3,2,1,2,Moderate
2,3,2,1,3,Moderate
2,1,1,2,2,Moderate
3,2,2,1,2,Moderate
3,3,2,1,3,High
1,3,3,1,1,Moderate
3,1,2,3,1,Moderate
3,2,3,3,3,High
1,2,2,3,3,Moderate
1,1,2,3,1,Moderate
2,3,1,3,1,Moderate
3,1,1,2,2,Moderate
3,3,2,2,1,Moderate
1,1,1,1,3,Low
2,2,1,1,2,Moderate
2,2,2,1,1,Moderate
3,3,3,2,3,High
2,2,1,3,1,Moderate
3,3,3,2,2,High
3,2,1,1,3,Moderate
2,3,1,2,2,Moderate
2,3,2,2,2,Moderate
2,2,2,2,3,Moderate
1,1,3,3,1,Moderate
2,3,2,2,3,High
3,3,2,3,1,High
3,3,3,2,3,High
1,1,3,2,1,Moderate
2,3,2,1,1,Moderate
2,3,2,2,2,Moderate
1,3,1,3,3,Moderate
1,2,2,3,3,Moderate
1,3,2,3,2,Moderate
2,2,1,2,1,Moderate
2,1,1,3,2,Moderate
3,2,1,1,3,Moderate
1,1,3,2,2,Moderate
1,1,1,3,1,Low
2,2,2,3,2,Moderate
2,1,1,2,2,Moderate
1,1,3,1,1,Low
1,1,1,3,1,Low
2,1,3,3,3,High
2,3,1,1,2,Moderate
3,1,3,2,2,Moderate
3,1,3,2,3,High
1,1,1,3,2,Moderate
1,2,1,2,3,Moderate
3,1,2,3,2,Moderate
1,3,2,1,3,Moderate
1,3,1,3,2,Moderate
1,2,2,2,3,Moderate
2,2,1,3,2,Moderate
1,3,2,1,2,Moderate
1,2,1,3,3,Moderate
2,3,1,2,3,Moderate
2,3,1,1,2,Moderate
1,2,1,2,2,Moderate
1,3,3,3,1,Moderate
3,1,2,3,2,Moderate
1,2,3,1,2,Moderate
3,3,3,3,3,High
2,3,3,1,1,Moderate
2,3,1,2,1,Moderate
3,3,1,2,1,Moderate
3,3,1,2,1,Moderate
2,2,2,1,3,Moderate
3,3,1,2,3,High
3,3,3,2,3,High
2,3,3,3,1,High
3,3,3,1,1,Moderate
3,3,3,1,1,Moderate
3,1,1,2,3,Moderate
3,2,2,3,3,High
3,1,2,3,3,High
3,2,2,1,1,Moderate
1,2,1,2,2,Moderate
2,2,2,1,2,Moderate
1,1,1,1,3,Low
1,1,2,2,2,Moderate
1,1,2,3,3,Moderate
1,3,3,1,2,Moderate
2,1,2,3,2,Moderate
2,3,3,1,1,Moderate
2,3,3,2,2,High
3,3,1,1,3,Moderate
1,2,3,3,3,High
3,2,3,3,2,High
3,2,2,3,1,Moderate
2,1,3,2,3,Moderate
3,3,2,1,1,Moderate
1,3,2,1,2,Moderate
2,3,2,2,1,Moderate
3,3,3,2,1,High
2,3,3,1,1,Moderate
2,1,1,2,3,Moderate
2,2,2,1,3,Moderate
1,1,1,2,1,Low
1,2,2,3,3,Moderate
2,1,1,2,1,Low
2,2,2,2,1,Moderate
3,1,1,3,2,Moderate
1,1,3,3,3,Moderate
1,1,1,2,2,Low
2,3,3,1,1,Moderate
3,3,2,2,2,High
2,2,1,2,3,Moderate
